Software Name,Aliases,Normalized Name
mitre_DropBook,,dropbook
mitre_Drovorub,,drovorub
mitre_Dtrack,,dtrack
mitre_Duqu,,duqu
mitre_DustySky,NeD Worm,dustysky
mitre_Dyre,"Dyreza, Dyzap",dyre
mitre_ECCENTRICBANDWAGON,,eccentricbandwagon
mitre_EKANS,SNAKEHOSE,ekans
mitre_ELMER,,elmer
mitre_EVILNUM,,evilnum
mitre_Ebury,,ebury
mitre_Ecipekac,"DESLoader, HEAVYHAND, SigLoader",ecipekac
mitre_Egregor,,egregor
mitre_Elise,"BKDR_ESILE, Page",elise
mitre_Emissary,,emissary
mitre_Emotet,Geodo,emotet
mitre_Empire,"EmPyre, PowerShell Empire",empire
mitre_EnvyScout,,envyscout
mitre_Epic,"TadjMakhal, Tavdig, Wipbot, WorldCupSec",epic
mitre_EvilBunny,,evilbunny
mitre_EvilGrab,,evilgrab
mitre_Exaramel for Linux,,exaramel for linux
mitre_Exaramel for Windows,,exaramel for windows
mitre_Expand,,expand
mitre_Explosive,,explosive
mitre_FALLCHILL,,fallchill
mitre_FELIXROOT,GreyEnergy mini,felixroot
mitre_FIVEHANDS,,fivehands
mitre_FLASHFLOOD,,flashflood
mitre_FLIPSIDE,,flipside
mitre_FRAMESTING,,framesting
mitre_FRP,,frp
mitre_FYAnti,DILLJUICE stage2,fyanti
mitre_FakeM,,fakem
mitre_FatDuke,,fatduke
mitre_Felismus,,felismus
mitre_Ferocious,,ferocious
mitre_Fgdump,,fgdump
mitre_FinFisher,FinSpy,finfisher
mitre_Final1stspy,,final1stspy
mitre_Flagpro,,flagpro
mitre_Flame,"Flamer, sKyWIper",flame
mitre_FlawedAmmyy,,flawedammyy
mitre_FlawedGrace,,flawedgrace
mitre_FoggyWeb,,foggyweb
mitre_Forfiles,,forfiles
mitre_FrameworkPOS,Trinity,frameworkpos
mitre_FruitFly,,fruitfly
mitre_FunnyDream,,funnydream
mitre_Fysbis,,fysbis
mitre_GLASSTOKEN,,glasstoken
mitre_GLOOXMAIL,Trojan.GTALK,glooxmail
mitre_GRIFFON,,griffon
mitre_Gazer,WhiteBear,gazer
mitre_Gelsemium,"Gelsemine, Gelsenicine, Gelsevirine",gelsemium
mitre_GeminiDuke,,geminiduke
mitre_Get2,,get2
mitre_Gold Dragon,,gold dragon
mitre_GoldFinder,,goldfinder
mitre_GoldMax,SUNSHUTTLE,goldmax
mitre_GoldenSpy,,goldenspy
mitre_Goopy,,goopy
mitre_Gootloader,,gootloader
mitre_Grandoreiro,,grandoreiro
mitre_GravityRAT,,gravityrat
mitre_Green Lambert,,green lambert
mitre_GreyEnergy,,greyenergy
mitre_GrimAgent,,grimagent
mitre_GuLoader,,guloader
mitre_H1N1,,h1n1
mitre_HALFBAKED,,halfbaked
mitre_HAMMERTOSS,"HammerDuke, NetDuke",hammertoss
mitre_HAPPYWORK,,happywork
mitre_HARDRAIN,,hardrain
mitre_HAWKBALL,,hawkball
mitre_HDoor,Custom HDoor,hdoor
mitre_HELLOKITTY,,hellokitty
mitre_HIDEDRV,,hidedrv
mitre_HOMEFRY,,homefry
mitre_HOPLIGHT,,hoplight
mitre_HTRAN,HUC Packet Transmit Tool,htran
mitre_HTTPBrowser,"HttpDump, Token Control",httpbrowser
mitre_HUI Loader,,hui loader
mitre_Hacking Team UEFI Rootkit,,hacking team uefi rootkit
mitre_Hancitor,Chanitor,hancitor
mitre_Havij,,havij
mitre_Helminth,,helminth
mitre_HermeticWiper,"DriveSlayer, Trojan.Killdisk",hermeticwiper
mitre_HermeticWizard,,hermeticwizard
mitre_Heyoka Backdoor,,heyoka backdoor
mitre_Hi-Zor,,hi-zor
mitre_HiddenWasp,,hiddenwasp
mitre_Hikit,,hikit
mitre_Hildegard,,hildegard
mitre_HotCroissant,,hotcroissant
mitre_Hydraq,"9002 RAT, Aurora, HidraQ, HomeUnix, Homux, HydraQ, McRat, MdmBot, Roarur",hydraq
mitre_HyperBro,,hyperbro
mitre_HyperStack,,hyperstack
mitre_IMAPLoader,,imaploader
mitre_INC Ransomware,,inc ransomware
mitre_IPsec Helper,,ipsec helper
mitre_ISMInjector,,isminjector
mitre_IceApple,,iceapple
mitre_IcedID,,icedid
mitre_Imminent Monitor,,imminent monitor
mitre_Impacket,,impacket
mitre_Industroyer,"CRASHOVERRIDE, Win32/Industroyer",industroyer
mitre_Industroyer2,,industroyer2
mitre_InnaputRAT,,innaputrat
mitre_InvisiMole,,invisimole
mitre_Invoke-PSImage,,invoke-psimage
mitre_IronNetInjector,,ironnetinjector
mitre_Ixeshe,,ixeshe
mitre_JCry,,jcry
mitre_JHUHUGIT,"GAMEFISH, JKEYSKW, Sednit, Seduploader, SofacyCarberp, Trojan.Sofacy",jhuhugit
mitre_JPIN,,jpin
mitre_JSS Loader,,jss loader
mitre_Janicab,,janicab
mitre_Javali,,javali
mitre_KARAE,,karae
mitre_KEYMARBLE,,keymarble
mitre_KEYPLUG,KEYPLUG.LINUX,keyplug
mitre_KGH_SPY,,kgh spy
mitre_KOCTOPUS,,koctopus
mitre_KOMPROGO,,komprogo
mitre_KONNI,,konni
mitre_KOPILUWAK,,kopiluwak
mitre_Kasidet,,kasidet
mitre_Kazuar,,kazuar
mitre_Kerrdown,,kerrdown
mitre_Kessel,,kessel
mitre_Kevin,,kevin
mitre_KeyBoy,,keyboy
mitre_Keydnap,OSX/Keydnap,keydnap
mitre_KillDisk,"Win32/KillDisk.NBB, Win32/KillDisk.NBC, Win32/KillDisk.NBD, Win32/KillDisk.NBH, Win32/KillDisk.NBI",killdisk
mitre_Kinsing,,kinsing
mitre_Kivars,,kivars
mitre_Koadic,,koadic
mitre_Kobalos,,kobalos
mitre_Komplex,,komplex
mitre_Kwampirs,,kwampirs
mitre_LIGHTWIRE,,lightwire
mitre_LITTLELAMB.WOOLTEA,,littlelamb.wooltea
mitre_LOWBALL,,lowball
mitre_LaZagne,,lazagne
mitre_Latrodectus,"IceNova, Unidentified 111",latrodectus
mitre_LightNeuron,,lightneuron
mitre_Linfo,,linfo
mitre_Linux Rabbit,,linux rabbit
mitre_LiteDuke,,liteduke
mitre_LitePower,,litepower
mitre_Lizar,Tirion,lizar
mitre_LoFiSe,,lofise
mitre_LoJax,,lojax
mitre_LockerGoga,,lockergoga
mitre_Lokibot,,lokibot
mitre_LookBack,,lookback
mitre_LoudMiner,,loudminer
mitre_Lslsass,,lslsass
mitre_Lucifer,,lucifer
mitre_LunarLoader,,lunarloader
mitre_LunarMail,,lunarmail
mitre_LunarWeb,,lunarweb
mitre_Lurid,Enfal,lurid
mitre_MCMD,,mcmd
mitre_MESSAGETAP,,messagetap
mitre_MURKYTOP,,murkytop
mitre_MacMa,"DazzleSpy, OSX.CDDS",macma
mitre_MacSpy,,macspy
mitre_Machete,Pyark,machete
mitre_Mafalda,,mafalda
mitre_MailSniper,,mailsniper
mitre_Manjusaka,,manjusaka
mitre_MarkiRAT,,markirat
mitre_Matryoshka,,matryoshka
mitre_Maze,,maze
mitre_MechaFlounder,,mechaflounder
mitre_MegaCortex,,megacortex
mitre_Melcoz,,melcoz
mitre_Metamorfo,Casbaneiro,metamorfo
mitre_Meteor,,meteor
mitre_MgBot,,mgbot
mitre_Micropsia,,micropsia
mitre_Milan,James,milan
mitre_MimiPenguin,,mimipenguin
mitre_Mimikatz,,mimikatz
mitre_Miner-C,,miner-c
mitre_MiniDuke,,miniduke
mitre_MirageFox,,miragefox
mitre_Mis-Type,,mis-type
mitre_Misdat,,misdat
mitre_Mispadu,,mispadu
mitre_Mivast,,mivast
mitre_MobileOrder,,mobileorder
mitre_MoleNet,,molenet
mitre_Moneybird,,moneybird
mitre_Mongall,,mongall
mitre_MoonWind,,moonwind
mitre_More_eggs,"SKID, SpicyOmelette, Terra Loader",more eggs
mitre_Mori,,mori
mitre_Mosquito,,mosquito
mitre_MultiLayer Wiper,,multilayer wiper
mitre_Mythic,,mythic
mitre_NBTscan,,nbtscan
mitre_NDiskMonitor,,ndiskmonitor
mitre_NETEAGLE,,neteagle
mitre_NETWIRE,,netwire
mitre_NGLite,,nglite
mitre_NKAbuse,,nkabuse
mitre_NOKKI,,nokki
mitre_NPPSPY,,nppspy
mitre_Naid,,naid
mitre_NanHaiShu,,nanhaishu
mitre_NanoCore,,nanocore
mitre_NativeZone,,nativezone
mitre_NavRAT,,navrat
mitre_Nebulae,,nebulae
mitre_Neoichor,,neoichor
mitre_Nerex,,nerex
mitre_Net,net.exe,net
mitre_Net Crawler,NetC,net crawler
mitre_NetTraveler,,nettraveler
mitre_Netwalker,,netwalker
mitre_Nidiran,Backdoor.Nidiran,nidiran
mitre_NightClub,,nightclub
mitre_Nightdoor,,nightdoor
